<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20151005;110000;132.4900000;134.2900000;132.2700000;134.1500000;6108690
GAZP;60;20151005;120000;134.1500000;134.4900000;133.6200000;133.7600000;3605330
GAZP;60;20151005;130000;133.7600000;134.2300000;133.6400000;134.1700000;2027840
GAZP;60;20151005;140000;134.1700000;134.4500000;133.8900000;133.9900000;2932890
GAZP;60;20151005;150000;134.0500000;134.9900000;133.9400000;134.9600000;4029340
GAZP;60;20151005;160000;134.9400000;135.2500000;134.5400000;135.2000000;4123480
GAZP;60;20151005;170000;135.1800000;136.1900000;135.1400000;136.0600000;6709460
GAZP;60;20151005;180000;136.1000000;136.8000000;135.8900000;136.1800000;6292960
GAZP;60;20151005;190000;136.1200000;136.8000000;136.1000000;136.8000000;3014990
GAZP;60;20151006;110000;136.9400000;137.0000000;135.2300000;135.2400000;7162650
GAZP;60;20151006;120000;135.2300000;136.6500000;135.1700000;136.4300000;9551070
GAZP;60;20151006;130000;136.4100000;136.5000000;135.7400000;136.0000000;2710200
GAZP;60;20151006;140000;136.0200000;136.2000000;135.6100000;136.1500000;1482820
GAZP;60;20151006;150000;136.1100000;136.4900000;135.7600000;136.4500000;1494890
GAZP;60;20151006;160000;136.4400000;137.3600000;136.2600000;137.3500000;4649810
GAZP;60;20151006;170000;137.3100000;137.9000000;136.8200000;137.7600000;4845830
GAZP;60;20151006;180000;137.7200000;137.9000000;136.8700000;137.0300000;3196630
GAZP;60;20151006;190000;137.0000000;137.8700000;136.8800000;137.8700000;3549000
GAZP;60;20151007;110000;138.0800000;138.8800000;137.7000000;138.0900000;6194040
GAZP;60;20151007;120000;138.0600000;138.0600000;136.7500000;136.9900000;4172880
GAZP;60;20151007;130000;136.9900000;137.7500000;136.9500000;137.2000000;1688360
GAZP;60;20151007;140000;137.2300000;137.8400000;137.0700000;137.2900000;1704010
GAZP;60;20151007;150000;137.2800000;138.6100000;137.2500000;138.6100000;3599260
GAZP;60;20151007;160000;138.6000000;139.0700000;138.4600000;138.6600000;4010500
GAZP;60;20151007;170000;138.7200000;139.4000000;138.6500000;139.1500000;4709260
GAZP;60;20151007;180000;139.1500000;139.7000000;139.1200000;139.4900000;5779120
GAZP;60;20151007;190000;139.5200000;140.0000000;139.2000000;140.0000000;10837890
GAZP;60;20151008;110000;139.3100000;141.1500000;139.1800000;140.5900000;13139200
